,time,temp_air,ghi,dni,dhi,lwr_u,wind_speed,rh,sp,azimuth,zenith,apparent_zenith
0,2022-01-01 00:00:00-03:00,22.18,0.0,0.0,0.0,351.22,1.45,89.21,97295.0,173.8509761995051,141.78551676043836,141.78551676043836
1,2022-01-01 01:00:00-03:00,21.86,0.0,0.0,0.0,348.45,1.37,91.37,97238.0,153.41089902693443,137.64464952880837,137.64464952880837
2,2022-01-01 02:00:00-03:00,21.54,0.0,0.0,0.0,345.67,1.29,93.54,97218.0,138.05641966794735,129.42346814388125,129.42346814388125
3,2022-01-01 03:00:00-03:00,21.22,0.0,0.0,0.0,342.89,1.22,95.7,97199.0,127.45946558918115,118.7490839876128,118.7490839876128
4,2022-01-01 04:00:00-03:00,20.9,0.0,0.0,0.0,340.12,1.14,97.87,97218.0,120.16180806912661,106.69361237105741,106.69361237105741
5,2022-01-01 05:00:00-03:00,21.22,0.0,0.0,0.0,393.85,0.28,97.6,97238.0,115.03488104688643,93.8459842811763,93.8459842811763
6,2022-01-01 06:00:00-03:00,21.52,42.0,65.87,30.0,407.45,0.28,96.15,97305.0,111.41198746240883,80.5278371163497,80.4373404022856
7,2022-01-01 07:00:00-03:00,22.33,280.0,489.52,80.0,407.25,0.62,90.9,97295.0,108.97372288307878,66.9272774549462,66.88979938024542
8,2022-01-01 08:00:00-03:00,23.84,352.0,148.21,261.0,398.85,1.59,78.8,97334.0,107.7080438550505,53.17068809105307,53.14918497051456
9,2022-01-01 09:00:00-03:00,25.47,405.0,65.01,354.0,406.65,1.66,71.3,97334.0,108.08177635021207,39.372990900147734,39.35974502466406
10,2022-01-01 10:00:00-03:00,26.88,589.0,154.11,449.0,403.25,1.79,67.2,97314.0,111.9953549368837,25.727327587279774,25.719550270881257
11,2022-01-01 11:00:00-03:00,27.87,346.0,2.05,344.0,413.65,2.14,63.9,97276.0,129.3035884409751,13.034664060321404,13.03094006177227
12,2022-01-01 12:00:00-03:00,28.35,735.0,223.0,515.0,421.45,2.28,62.7,97218.0,205.1657729133934,8.839621981875183,8.83712983512855
13,2022-01-01 13:00:00-03:00,28.67,853.0,463.97,419.0,426.85,2.41,62.8,97170.0,243.26707156288023,19.680458530379397,19.674690837238728
14,2022-01-01 14:00:00-03:00,28.99,686.0,302.14,436.0,423.05,2.34,61.6,97075.0,250.83523536975912,33.09262683289728,33.0821049256655
15,2022-01-01 15:00:00-03:00,28.31,584.0,344.8,353.0,418.25,2.97,63.75,97055.0,252.41563304234748,46.858741660934044,46.84153278805868
16,2022-01-01 16:00:00-03:00,26.67,446.0,424.31,245.0,417.45,2.62,68.6,97075.0,251.79819375508978,60.652696696665316,60.624148902362634
17,2022-01-01 17:00:00-03:00,24.54,251.0,408.61,148.0,411.85,2.14,75.3,97132.0,249.88022851043655,74.34239828886092,74.28630306851335
18,2022-01-01 18:00:00-03:00,24.41,42.0,0.0,42.0,412.85,2.34,75.1,97142.0,246.82544147785322,87.81346070012661,87.55507613333933
19,2022-01-01 19:00:00-03:00,24.06,0.0,0.0,0.0,408.25,2.14,76.8,97257.0,242.451595285311,100.91318985365712,100.91318985365712
20,2022-01-01 20:00:00-03:00,23.59,0.0,0.0,0.0,398.05,2.28,79.55,97295.0,236.26307356168888,113.39356143665432,113.39356143665432
21,2022-01-01 21:00:00-03:00,23.13,0.0,0.0,0.0,401.25,2.34,82.65,97353.0,227.3528141955391,124.81097987698585,124.81097987698585
22,2022-01-01 22:00:00-03:00,22.6,0.0,0.0,0.0,394.65,2.14,85.9,97401.0,214.3417353272696,134.34380901401113,134.34380901401113
23,2022-01-01 23:00:00-03:00,22.16,0.0,0.0,0.0,392.85,2.0,88.8,97410.0,196.0457530372901,140.58751815692628,140.58751815692628
